ind	p0	p132	p265	p397	p530
678	0.4408	1.7214	4.823	10.5766	16.874
679	0.7606	2.4405	6.3347	12.8437	19.9919
680	0.3782	1.572	4.5341	10.1197	16.5347
681	1.0585	3.2908	8.6031	17.6029	27.5517
682	0.7853	2.682	7.1689	15.1293	24.1074
683	0.3537	1.5712	4.6321	10.2404	16.8417
684	0.0843	0.8751	2.9177	6.807	10.9193
685	1.1475	3.7811	10.4334	22.3533	36.4288
706	0.552	2.2525	6.7193	15.419	24.9533
707	0.9084	3.1946	9.1827	20.1376	30.8378
708	1.1882	3.5921	8.6585	17.0505	24.6891
709	0.9299	3.0064	7.3057	15.3331	23.7995
710	1.1224	3.4882	9.0096	18.3383	28.5967
711	1.2583	4.0635	10.5271	22.3173	34.5673
712	0.5196	2.154	6.5598	14.6943	24.4439
713	0.4757	1.8808	5.2246	11.1833	17.8946
714	0.4724	1.8814	5.6249	12.8896	20.6117
715	0.8181	2.975	8.2081	18.066	29.1192
716	0.5411	2.0977	6.0068	13.1746	21.4306
717	0.4425	1.7845	5.189	11.1608	17.7359
718	1.1713	3.8672	10.3173	22.1638	35.4814
719	0.5709	1.9529	5.1862	10.7591	17.151
720	0.8792	2.9461	7.899	16.3612	25.8971
721	0.3777	1.934	6.3839	15.7164	25.3569
722	0.8056	2.7059	7.0192	14.8071	23.1089
723	0.724	2.5538	7.3356	15.6466	25.8894
724	0.8632	2.9359	8.0446	16.3968	26.6579
725	0.5862	2.2829	6.6031	14.9693	24.2649
746	0.8834	3.3684	10.0691	22.6158	35.2205
747	0.8265	2.7037	7.3268	14.8151	23.325
748	0.9217	2.9912	8.0327	16.6723	25.5389
749	0.85	3.0425	8.8708	19.1743	31.1614
750	0.3955	1.7771	5.3557	12.0256	19.0382
751	0.4008	1.766	5.3119	11.6933	18.6678
752	1.0828	3.7819	10.7704	23.87	36.9318
753	0.5833	2.3669	6.7815	14.3754	23.5147
754	0.7974	2.9504	8.6429	19.1603	30.2997
755	0.1867	1.1907	3.8556	8.8832	14.9106
756	0.5025	2.1715	6.4714	14.4021	22.9674
757	0.3992	1.7416	5.528	13.227	22.4606
758	0.3978	1.8224	5.8458	13.7309	22.984
759	0.3286	1.5938	4.8996	10.927	17.8184
760	0.6121	2.4969	7.4049	16.6622	26.6079
761	0.3372	1.5778	4.7725	11.0745	18.167
762	0.6432	2.609	7.8957	17.9218	29.7731
763	0.5027	2.3019	7.3744	17.6984	29.3901
764	0.2772	1.2883	3.614	7.569	11.3626
765	0.7105	2.8353	8.7516	20.3278	33.0581
786	0.5187	2.1302	6.4135	14.5244	23.8559
787	0.5079	2.0338	5.8008	12.812	19.8038
788	0.5728	2.4065	7.1208	16.0382	25.4633
789	0.2093	1.3925	4.7585	11.2957	18.7574
790	0.2695	1.5061	4.7853	11.3887	18.6479
791	0.9612	3.0957	8.1875	16.6972	26.3492
792	0.5829	2.2453	6.5782	14.8256	24.0798
793	0.5359	2.3432	6.9669	16.358	27.128
794	0.7796	2.6845	7.1473	15.1905	24.4048
795	0.6207	2.4315	6.8875	14.6512	23.4842
796	0.7009	2.8861	8.7823	19.9003	31.8223
797	0.4243	1.8869	5.9007	13.5294	21.9096
798	0.2307	1.3336	4.2897	10.0969	16.169
799	0.5227	2.2043	6.5316	14.964	23.5053
800	0.3575	1.8945	6.442	15.5408	25.1168
801	0.3262	1.734	5.6826	13.2463	22.5886
802	0.6184	2.5053	7.7945	18.1154	29.5728
803	0.3025	1.7118	5.566	13.4225	22.055
804	0.5049	2.1362	6.4132	14.478	23.1042
805	0.4904	1.9114	5.3212	11.615	18.4105
826	0.9015	2.9542	7.8554	16.4031	26.5672
827	0.7608	2.8286	8.2606	19.0254	31.5972
828	1.1806	3.567	9.402	18.4933	28.8174
829	1.1075	3.8363	10.7435	24.2271	40.2545
830	0.4275	1.6265	4.4527	9.302	14.7388
831	0.7828	2.5484	6.4264	12.7762	20.4377
832	0.6727	2.3281	5.9937	12.1638	19.7562
833	0.5065	2.0589	6.0985	13.7149	23.0469
834	0.8065	2.7611	7.5538	16.0898	24.7313
835	0.5253	2.3005	7.4092	18.6961	32.6691
836	0.5608	2.1061	5.9432	13.333	21.5105
837	0.6185	2.3406	6.7941	14.8112	24.2474
838	0.7969	2.8543	8.0948	17.6407	28.2333
839	0.7331	2.6265	7.2936	15.7509	24.9007
840	1.0786	3.3628	8.5453	18.1737	28.9236
841	0.7133	2.7238	8.1718	18.6948	30.4886
842	0.7017	2.5856	7.244	15.9886	25.2725
843	0.8591	3.1836	8.7609	20.2606	33.3197
844	0.8666	2.9001	7.6768	16.2321	25.8125
845	0.3868	1.8677	5.8979	13.9503	23.4758
866	0.7295	2.6051	6.998	14.9419	24.2503
867	0.4595	1.874	5.4753	12.1023	20.2062
868	1.1477	3.5371	8.8243	17.9943	27.4447
869	0.4106	1.7008	4.6951	10.0505	16.0451
870	0.625	2.2852	6.7032	14.462	22.9438
871	0.636	2.2898	6.168	12.921	20.7829
872	0.259	1.3216	4.1021	9.8609	16.4122
873	0.5121	2.1052	6.6902	15.2884	26.0722
874	1.0393	3.3043	8.6086	17.6948	28.0206
875	0.69	2.4097	6.5893	13.9796	21.9034
876	0.6323	2.3322	6.7019	15.2015	24.0552
877	0.6738	2.2293	5.9088	12.0143	18.8063
878	0.7752	2.7658	7.8475	17.2562	27.9202
879	0.8568	3.0361	8.4635	17.8294	28.2976
880	0.8414	2.9975	8.6637	18.8653	29.8701
881	0.1424	1.0076	3.3255	7.8255	12.6369
882	0.3547	1.6445	5.0615	12.0403	20.2218
883	0.4454	1.7871	5.0535	10.8331	16.9379
884	0.2857	1.4552	4.7397	11.3225	19.2208
885	0.3275	1.4872	4.4014	9.847	16.2485
906	0.6959	2.5063	6.7835	14.6282	24.0577
907	0.9934	3.1906	8.5316	17.2308	27.2852
908	0.2668	1.5188	5.3392	13.0542	22.5867
909	0.575	2.2743	7.1745	16.1221	26.797
910	0.6045	2.2015	6.1205	13.2208	21.1166
911	0.5877	2.4992	7.5169	16.8432	27.0301
912	1.127	3.7251	9.6554	20.4746	31.4775
913	0.7695	2.7324	7.311	15.4734	24.3971
914	1.0459	3.3873	8.9105	18.1871	28.8281
915	0.6956	2.4812	6.8995	14.6161	23.1731
916	0.276	1.3543	4.1114	9.4856	15.4041
917	0.7638	2.9075	8.7696	20.4109	32.0894
918	0.5352	2.2975	7.3878	17.3804	30.0834
919	0.5917	2.1645	6.2672	13.7855	22.1176
920	0.6898	2.5202	6.9898	15.4842	25.99
921	0.2628	1.4068	4.3169	10.3911	17.2873
922	0.5356	2.3187	7.1841	16.0255	26.0104
923	0.4059	1.7366	4.7481	10.2815	16.387
924	0.9604	3.3297	8.9811	19.356	30.5031
925	0.9266	3.2105	9.1264	19.9478	32.2328
946	0.6949	2.5577	7.1479	15.3691	24.5987
947	1.252	4.0822	11.1847	23.6773	37.2067
948	0.5425	2.2027	6.5449	14.8521	24.4706
949	1.2441	3.8685	9.601	19.0497	29.1645
950	0.9131	3.1102	8.2696	17.2742	26.8539
951	0.7171	2.8811	8.4485	19.7224	31.2257
952	0.6159	2.3231	6.5772	13.9066	22.5189
953	0.5806	2.0264	5.4201	11.2028	17.5466
954	0.272	1.4621	4.7186	11.1128	18.8945
955	1.1329	3.7661	10.4757	22.7286	36.506
956	0.5878	2.0981	5.7439	12.4354	19.4732
957	0.2528	1.3661	4.3863	9.8748	15.5132
958	1.7513	4.992	11.7983	23.0955	34.3712
959	0.3977	1.8719	5.7847	13.3279	21.6881
960	0.2861	1.5535	5.1295	12.1535	20.5708
961	0.6604	2.349	6.4673	13.3727	21.088
962	0.6481	2.4155	6.8632	14.7176	23.5087
963	1.9743	5.1735	12.6705	24.1208	35.9586
964	0.9611	3.2889	9.1503	19.2704	30.2078
965	0.7111	2.4751	6.4982	13.3841	20.7005
986	0.843	3.1084	9.0287	19.3349	31.989
987	1.2047	4.0118	10.9702	22.989	36.5555
988	0.791	2.8759	8.3877	18.5262	30.3192
989	0.8609	2.9925	8.0939	17.211	27.0501
990	0.6666	2.3981	6.5221	13.7105	20.9415
991	0.8447	3.0526	8.5669	19.0753	29.8762
992	0.9626	3.0454	7.6212	15.8051	24.0373
993	0.4046	1.8408	5.5478	12.4673	20.0316
994	0.8653	3.2136	9.2948	20.2068	32.861
995	1.0401	3.6801	10.514	22.4337	35.138
996	0.5851	2.349	6.7892	15.5012	24.5825
997	0.5888	2.2576	6.4992	13.8629	21.247
998	0.6955	2.4949	6.6911	13.987	21.4622
999	0.6661	2.3535	6.3386	12.9683	20.2863
1000	0.8488	2.9525	8.0677	16.6499	25.9283
1001	0.1071	0.9093	2.9687	6.7628	10.99
1002	0.6161	2.2595	6.3303	13.1986	20.6575
1003	0.6186	2.3738	6.9226	15.4615	24.4566
1004	0.2039	1.3216	4.4556	10.8374	18.3766
1005	0.7105	2.7566	8.0133	18.1807	28.9933
1026	1.1033	3.3041	8.1322	16.1359	25.0836
1027	1.2955	3.7059	9.0459	18.0583	28.6565
1028	0.9638	3.2683	9.1725	19.793	31.1529
1029	1.1352	3.6655	9.5675	20.1481	32.9205
1030	0.6436	2.4214	6.679	14.3073	22.9268
1031	1.1098	3.7681	10.5502	22.232	35.7779
1032	1.1219	3.489	9.137	18.8887	30.4672
1033	0.5315	1.8115	4.7957	9.7705	15.0786
1034	1.169	3.6481	9.4552	19.1622	30.6676
1035	1.4596	4.5877	12.4091	26.3404	40.6079
1036	1.2926	4.1575	10.8084	22.6069	35.3965
1037	0.7252	2.4207	6.081	12.1739	19.0106
1038	1.0796	3.41	9.0235	18.4909	28.9167
1039	1.269	4.1044	10.7769	23.0179	36.6987
1040	1.3715	4.4446	12.2932	26.1254	41.9645
1041	1.6044	5.0057	13.3016	27.8583	44.4625
1042	1.1408	3.6333	9.7494	20.7185	33.8863
1043	0.8664	2.9621	8.2724	17.7996	29.8585
1044	1.5064	4.4769	11.7383	25.2761	39.7323
1045	1.0272	3.4211	9.2075	19.6155	30.8699
1066	0.6568	2.5388	7.6996	17.3356	27.1934
1067	1.0595	3.2672	8.2528	16.3192	25.4187
1068	1.5648	4.6915	12.2749	25.8845	41.2016
1069	0.7182	2.5279	7.0274	15.7364	25.1137
1070	1.1693	3.7214	9.8632	20.3071	31.1887
1071	0.1544	0.9017	2.6928	5.798	9.3755
1072	1.4381	4.22	10.302	20.3845	31.2773
1073	1.3069	3.8136	9.6055	18.9784	29.1037
1074	0.9121	3.0924	8.8936	19.5485	31.5719
1075	0.9882	2.9738	7.323	14.3786	22.8449
1076	1.1514	3.5612	9.2931	19.1588	28.9904
1077	1.1749	3.5361	8.854	18.1268	27.1446
1078	0.8863	2.8984	7.7737	15.9286	25.4274
1079	0.5611	2.0177	5.6334	11.9755	19.541
1080	0.5926	2.1275	5.7462	12.4057	20.1311
1081	0.9124	3.0728	8.3348	17.8689	28.718
1082	1.592	4.6373	11.2766	21.9727	33.0628
1083	1.1131	3.483	9.0162	18.3375	28.4903
1084	0.4767	1.8139	5.0319	10.6692	17.066
1085	1.1274	3.438	8.4642	16.5252	25.4965
1106	1.1069	3.6729	9.6178	20.2578	32.2914
1107	0.8913	3.0429	8.1396	17.2224	26.792
1108	1.2583	3.9653	10.4796	21.9082	34.5427
1109	0.6926	2.2599	5.7774	11.6901	18.4966
1110	0.8712	2.8431	7.2983	15.0379	23.2942
1111	0.4899	1.8881	5.4775	11.802	19.3849
1112	0.8299	2.9006	8.128	17.561	27.6264
1113	0.8679	2.8352	7.498	15.1888	23.7168
1114	0.7371	2.5316	6.9235	14.8679	23.0791
1115	0.7097	2.4004	6.2274	12.4623	19.7772
1116	1.4684	4.3694	10.9359	21.4712	34.4376
1117	1.27	3.7637	9.4958	19.03	30.5424
1118	0.8533	2.8804	8.039	17.2628	27.2353
1119	1.1078	3.5529	8.989	18.4852	29.972
1120	0.6984	2.7483	8.4684	19.5364	32.3056
1121	0.9393	2.9509	7.7474	15.5131	24.8311
1122	1.1901	3.9518	10.5991	22.0729	34.8255
1123	0.7756	2.6197	7.2623	15.4374	24.5273
1124	0.9404	2.9777	7.5482	15.6708	24.0786
1125	0.6992	2.6115	7.4038	16.4552	25.8271
1146	0.4137	1.8677	5.8152	13.5485	22.1918
1147	0.6205	2.3722	6.6397	14.1894	21.889
1148	0.8213	2.8571	7.6106	15.9451	24.4757
1149	0.788	2.86	7.8931	16.8229	25.389
1150	0.6752	2.6013	7.513	17.1713	28.1419
1151	0.423	1.9411	6.0624	14.9582	25.3685
1152	0.4929	1.9957	5.6745	12.5185	19.3227
1153	0.6475	2.2349	5.8335	11.9348	18.3104
1154	0.2693	1.433	4.4548	10.341	16.4135
1155	0.4296	1.7101	4.8555	10.4266	17.1645
1156	1.5929	4.8431	12.2407	24.1221	36.5641
1157	0.8218	2.8501	8.1464	17.0118	26.9349
1158	1.2293	3.9336	10.2985	21.4401	33.2349
1159	0.8145	3.1878	9.6696	22.5274	37.1175
1160	0.5229	2.0461	5.969	12.9413	20.7959
1161	0.6138	2.4303	7.3693	16.1886	25.157
1162	0.1809	1.0033	3.1085	6.858	11.3485
1163	0.6713	2.4823	7.1994	16.3003	25.8553
1164	0.6591	2.2964	6.27	13.3825	21.2152
1165	0.5236	2.332	7.3266	17.6185	29.0133
1186	0.9997	3.1024	8.0613	16.6021	24.985
1187	0.7358	2.6313	7.4039	16.2942	25.1356
1188	0.3657	1.7113	5.4571	12.8218	21.1414
1189	0.361	1.556	4.3086	9.5025	15.2091
1190	0.3366	1.5892	4.9351	11.1424	17.43
1191	1.5304	4.6194	11.9545	23.8123	37.1957
1192	0.4999	1.8842	5.505	11.8018	18.6234
1193	0.8368	2.7892	7.4987	15.7938	24.4135
1194	0.4009	1.8113	5.6581	13.2129	22.4451
1195	1.2638	3.6795	8.8097	17.0068	25.5223
1196	0.3994	1.5489	4.3277	9.0024	14.3384
1197	0.5031	2.0066	5.8291	12.4376	19.1542
1198	0.4853	2.0164	6.2762	13.8224	22.5842
1199	1.5619	4.5816	11.5554	22.6062	34.2533
1200	0.9608	3.4152	10.0026	21.6691	34.5633
1201	0.9163	3.4256	10.1382	23.2924	37.2661
1202	1.0949	3.3979	9.097	18.6042	29.2225
1203	0.7607	2.7406	7.7647	16.7178	26.9511
1204	1.0415	3.3025	8.4057	16.9143	25.1747
1205	0.7116	2.6663	7.9772	17.1592	27.2224
1226	1.1096	3.4755	9.2324	18.9407	29.59
1227	0.7677	2.7443	7.28	15.1276	23.9505
1228	0.996	3.1767	8.2534	17.6395	27.999
1229	1.2236	3.8559	10.0688	20.762	32.8694
1230	1.1533	3.9451	10.7625	23.6018	38.6378
1231	0.4183	1.9916	6.1009	14.307	23.8692
1232	1.2033	3.5218	8.8684	18.3467	29.5573
1233	0.6889	2.5757	7.5855	16.8826	27.6193
1234	1.1452	3.6867	9.4952	19.7113	31.2609
1235	0.9009	3.1109	8.5496	18.6984	29.4442
1236	1.3633	4.4241	12.1015	26.386	43.2009
1237	0.5942	2.2123	6.2537	13.7214	22.4953
1238	0.856	2.7635	6.8767	14.5669	21.9814
1239	0.7422	2.5132	6.507	13.2352	20.781
1240	1.2508	3.8918	9.7774	19.5679	31.6766
1241	1.7475	5.0366	12.1985	24.7244	37.3786
1242	0.9377	3.1063	8.0649	17.1642	27.5692
1243	0.8339	2.755	7.3113	15.5433	24.6806
1244	0.924	3.3132	9.7711	21.5527	34.4686
1245	1.433	4.1855	10.1901	20.1277	30.9817
1266	0.4812	2.0259	6.3738	15.3561	26.0908
1267	0.5347	2.0352	5.2392	11.0269	17.5499
1268	0.0804	0.8035	2.7001	6.3114	10.2953
1269	0.3828	1.539	4.3743	9.3677	14.8491
1270	0.2764	1.4229	4.6149	10.9127	17.9201
1271	0.5348	2.0592	5.923	12.3235	20.276
1272	0.5717	2.1067	5.7803	12.5144	19.8031
1273	0.776	2.8773	8.1098	18.0378	29.2831
1274	0.6003	2.1975	5.9751	13.0376	21.1232
1275	0.2929	1.3861	4.0878	8.7703	14.5842
1276	0.6151	2.1024	5.6766	11.7982	18.5975
1277	0.1334	0.9923	3.4309	8.2826	14.6047
1278	0.824	2.6828	7.2037	15.1961	24.1587
1279	0.5965	2.0941	5.8378	12.1025	19.4445
1280	1.0163	3.2236	8.0312	16.3435	25.5771
1281	0.3802	1.5396	4.3487	9.7449	15.3091
1282	1.1336	3.3804	8.1817	16.577	25.9002
1283	0.4206	1.8962	5.9756	14.0217	23.0088
1284	0.5109	1.8382	4.939	10.5863	16.3363
1285	0.901	2.8864	7.571	15.7864	24.9974
1306	1.236	3.7643	9.9172	20.5486	30.3514
1307	0.3483	1.489	4.1892	9.2107	15.1925
1308	0.5549	2.1332	6.0625	13.2989	21.898
1309	1.1509	3.447	8.8945	17.9437	28.3115
1310	1.2083	4.0068	10.4094	21.5152	34.2218
1311	0.4229	1.8494	5.626	12.5868	20.2698
1312	0.8545	3.0004	8.2026	17.4011	27.207
1313	0.7968	2.8872	8.1547	17.4126	28.4367
1314	0.7743	2.3612	6.0156	11.7491	18.4201
1315	0.7935	2.9314	8.0069	18.019	29.559
1316	0.9957	3.2912	9.096	19.122	31.7118
1317	0.7381	2.3877	6.1329	12.2805	18.716
1318	0.7265	2.6902	7.7701	17.7896	28.6422
1319	0.6669	2.4763	7.2145	15.66	25.3199
1320	0.598	2.5002	7.5121	16.8451	27.459
1321	0.5615	2.2068	6.7137	15.3217	25.3098
1322	1.4944	4.2091	10.4822	20.9324	32.2364
1323	0.875	2.7996	7.1887	14.0815	21.8915
1324	0.7625	2.6467	7.2782	15.4095	25.0814
1325	0.9341	3.132	8.435	18.1885	28.1346
1346	0.5197	2.0566	6.0546	13.5588	21.6069
1347	0.4661	2.0066	6.0834	13.7889	22.1093
1348	0.7481	2.7169	7.5674	17.5942	29.4837
1349	0.3549	1.8169	6.1233	14.8724	25.737
1350	0.3515	1.4994	4.3325	9.1618	13.8427
1351	0.2774	1.486	4.7564	11.4411	18.7338
1352	1.1948	3.7794	9.8792	20.3426	32.2915
1353	0.7076	2.63	7.7	16.2633	26.316
1354	0.7503	2.6032	6.9078	14.7802	22.8851
1355	0.432	1.9555	6.1695	14.5511	24.833
1356	0.4762	1.86	5.3304	11.2645	17.4994
1357	0.6352	2.3499	6.6156	14.513	22.6441
1358	0.246	1.3142	4.0108	8.9524	14.9278
1359	0.4864	1.8854	5.5346	11.5297	18.0231
1360	0.5607	2.3626	7.1231	17.0845	28.569
1361	0.2879	1.4484	4.4604	10.8209	18.4107
1362	0.425	1.9459	6.1989	14.2651	22.9923
1363	0.5003	2.1677	6.9076	15.9158	26.5888
1364	0.5457	2.2416	6.5934	15.4835	25.7522
1365	0.7904	2.8499	7.9596	17.2937	27.3299
